# NAME #,# TIENDA €/kg #,# COOPE €/kg #,# PVP #,# OBSERVACIONS #,# SUB-PRODUCTS #,,,,,,,
Costelles (0.3 kg):,,"9,50","10,50",,,,,,,,,
Filet (0.5 kg):,"16,00","16,00","17,00",,,,,,,,,
Secret (0.3 kg):,"14,00","14,00","15,00",,,,,,,,,
Pedacet:,"9,00","10,00","11,00",,,,,,,,,
Llom (0.5 kg): ,"13,50","14,50","15,50",,,,,,,,,
Cap de llom (0.5 kg):,"9,00","9,50","10,50",,,,,,,,,
Ossos d'espinada (0.3 kg): ,"3,00","4,00","5,00",,,,,,,,,
Cua (0.2 kg):,"8,00","8,50","9,00",,,,,,,,,
Galtes (0.5 kg):,"6,50","6,50","7,50",,,,,,,,,
Fetge (0.3 kg):,"3,50","4,00","5,00",,,,,,,,,
Peus de porc (0.4 kg),"5,00","5,00","6,00",Cuits o sense coure,,,,,,,,
Llonzat (0.5 kg),"11,50","12,50","13,50",,,,,,,,,
Cansalada (0.3 kg):,"4,00","5,00","6,00",,,,,,,,,
Carn per estofar (0.5 kg),"9,00","9,50","10,50",,,,,,,,,
Panxeta (0.4 kg): ,"6,50","7,80","9,00",,,,,,,,,
Botifarres (0.5 kg),"9,50","10,00","11,00",,,,,,,,,
Salsitxes / Xoriç per cuinar (0.4 kg):,"10,50","11,20","12,20",,,,,,,,,
Carn picada (1 kg):,"8,50","9,50","10,50",,,,,,,,,
Hamburgueses (0.5 kg):,"9,50","10,00","11,00",,,,,,,,,
Pilota/mandonguilles (0.5 kg):,"10,50","11,00","12,00",No disponible temporalm.,,,,,,,,
Botifarra d'ou (0.4 kg):,"13,50","14,00","16,00",,,,,,,,,
Botifarra fetge (0.4 kg):,"13,50","14,00","16,00",,,,,,,,,
Botifarra negra (0.4 kg):,"13,50","14,00","16,00",,,,,,,,,
Botifarra cap (0.4 kg):,"14,00","15,00","17,00",No disponible temporalm.,,,,,,,,
Fuet*:,"19,00","20,00","22,00",No disponible temporalm.,,,,,,,,
Llonganissa*:,"23,00","24,00","26,00",No disponible temporalm.,,,,,,,,
Xoriç embotit*:,"19,00","20,00","22,00",No disponible temporalm.,,,,,,,,
Papada a granel:,"4,00",,,,,,,,,,,
Espatlla sense pell a granel:,"6,00",,,,,,,,,,,
Espatlla amb pell a granel:,"5,70",,,,,,,,,,,
Retall magre 1ª a granel:,"6,70",,,,,,,,,,,
Retall sense triar:,"6,00",,,,,,,,,,,
Costellar sencer,"8,00",,,2 kg aprox,,,,,,,,
Llom de canya sencer,"13,00",,,3 kg aprox,,,,,,,,
Cap de llom sencer,"8,50",,,"1,5 kg aprox",,,,,,,,
Llonzat sencer,"11,00",,,6 kg aprox,,,,,,,,
Lot 2.5 kg,"10,00","10,75","11,95",,"0,5 kg Llom","0,4 kg Carn picada","0,5 kg Bull","0,6 kg Botifarra o salsitxa","0,4 kg Cansalada o costella a trossos",,,
Lot 4 kg,"9,50","10,25","11,50",,"0,5 kg Llom","1,0 kg Carn picada","0,5 kg Bull","0,4 kg Cansalada","0,6 kg Hamburguesa o botifarra","0,6 kg Botifarra o salsitxa","0,4 kg Cap de llom o carn per estofar",
Lot 6 kg,"9,00","9,75","10,95",,"0,5 kg Llom","1,0 kg Carn picada","0,5 kg Bull","0,6 kg Costella a trossos","0,6 kg Cansalada o ossos (o ambdues)","0,8 kg Hamburguesa","0,4 kg Cap de llom o carn per estofar","1,6 kg Botifarra o salsitxa (o ambdues)"
